Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
TTFS	Try This For Size
TTFWY	To The Font With You
TTGL	Thank The Good Lord
TTGOC	The True God's Own Country (Yorkshire)
TTL	Transistor-Transistor Logic/Time To Live/Through The Lens
TTLAISTDMTV	That's The Longest Acronym I've Seen That Doesn't Mention The Vampire
TTMAR	Take The Money And Run
TTMS	Talk/Type To Me Soon
TTN	The Teleological Number
TTT	Thought That Too/The Two Towers
TTTT	To Tell The Truth
TTWTCC	That's The Way The Cookie Crumbles
TTWTTF	That's The Way The Toast Flies
TTY	TeleTYpe
TTYL	Talk To You Later
TTYLA	Talk/Type To You Later Alligator
TU	Thank yoU
TUIFU	The Ultimate In F*-Ups
TUS	The Usual Suspects
TV	TeleVision/The Vampire
TVCR	Television Video Cassette Recorder (combined)
TVM	Ta/Thanks Very Much/The Vampire's Mother
TVMFTE	Thanks Very Much For The Explanation
TVMI	Ta/Thanks Very Much Indeed
TVMIA	Ta Very Much In Advance
TVVM	Thanks Very Very Much
TVVMIA	Thanks Very Very Much In Advance
TWA	Tecwen Whittock Applies
TWAIN	Technology Without An Interesting/Important Name
TWBFITNR	This Will Be Fixed In The Next Release
TWBN	That Would Be Nice
TWC	Three Way Call
TWCBN	Those Who Cannot Be Named
TWIMC	To Whom It May/Might Concern
TWINAO	The World Is Not An Oeuf
TWIT	That's What I Thought
TWITT	That's What I Thought Too
TWMTBACT	That Was Meant To Be A Comment To...
TWS	The Wine Society
TWSTBACT	That Was Supposed To Be A Comment To...
TWSTBAS	That Was Supposed To Be A Say
TWTAS	That's What They All Say
TX	Texas
TX	Transmit
TY	Thank You
TYG	There You Go
TYKS	Thank You, Kind Sir
TYMD	Tie Your Mother Down
TYOGMM	Thank You, Oh Great And Mighty Moderator
TYVM	Thank You Very Much
TYVMI	Thank You Very Much Indeed
TYW	There You Went
UA	Unusual Abbreviation
UAA	Unauthorised Acronym Alert
UAE	Unrecoverable Application Error
UAPITA	You're A Pain In The Ass
UART	Universal Asynchronous Receiver/Transmitter
UATWLG	yoU Are The Weakest Link, Goodbye
UBE	Unsolicited Bulk Email
UBR	Universal Broadband Router = CMTS coupled with a router.
UBYA	Unbalanced Yet Again
UCE	Unsolicited Commercial Email
UCR	Unclassified County Road
UCRE	User Configurable Registry Entry
UCW	Union of Communication Workers
UDO	Ultra Density Optical
UDP	User Datagram Protocol
UFN	Until Further Notice
UFO	Unidentified Flying Object
UGANDA	Urgent Geek Alert, Needs Desperate Attention.
UH	Unit Helper
UHAMPDAICM5P	yoU Have A Multiple Personality Disorder And I Claim My 5 Pounds
UHF	Ultra High Frequency
UHT	Ultra Horrible Taste/Ultra Heat Treated
UI	User Interface
UIAM	Unless I Am Mistaken
UIAMM	Unless I Am Much Mistaken
UIAVMM	Unless I Am Very Much Mistaken
UIO	Unutterably Insignificant Other
UIVMM	Unless I'm Very Much Mistaken
UK	United Kingdom
UKL	United Kingdom Pounds (sterling)
UKP	United Kingdom Pounds (sterling)
UKRSA	Yahoo uk.rec.scouting Archive group
UKS	United Kingdom Sterling
UKSA	UK Scout Association (Sometimes TSA or SA)
ULC	Unit Labour Cost
UM	Upper Management
UMEAO	Unlimited Multiple Email Address Option
UMTS	Universal Mobile Telecommunication Services
UN	United Nations
UNC	Universal Naming Convention
UOM1K	You Owe Me One Keyboard
UOMOK	You Owe Me One Keyboard
UPS	Uninterruptable Power Supply/United Parcel Service
URL	Uniform Resource Locator
URNANOSAICM5P	yoU aRe NANOS And I Claim My 5 Pounds
URS	uk.rec.scouting
US	United States/UnServiceable/Under Services
USA	United States of America
USAF	United States Air Force
USB	Universal Serial Bus
USC	Up Sh*t Creek
USCWAP	Up Sh*t Creek Without A Paddle
USP	Unique Selling Point
USR	US Robotics
UT	Universal Time (aka GMT, UTC, or Zulu Time)
UT	Utah
UTB	Uploading This Blink
UTC	Co-ordinated Universal Time (aka UT)
UTCCH	Until The Cows Come Home
UTP	Unshielded Twisted Pair
UTPSOE	Up The Proverbial Stream Of Effluent
UTPSOEWNVMOL	Up The Proverbial Stream Of Effluent With No Visible Means Of Locomotion
UUCP	Unix to Unix Copy Protocol
UUID	Universal Unique IDentifier
UV	UltraViolet
UVF	Ulster Volunteer Force
UW	yoU're Welcome
UWTTISBOYFGD	Understand What They Thread Is About Before Opening Your Fat Gob Dickhead!
UYMF	Up Yours, My Friend
VA	Virginia/Virtual Access
VAC	Value Added Content
VAT	Value Added Tax
VB	Visual Basic
VB3	Visual Basic 3
VB4	Visual Basic 4
VBA	Visual Basic for Applications
VBG	Very Big Grin
VBSDK	Visual Basic Software Development Kit
VBSEG	Very Big S***-Eating Grin
VC	Visual C
VC++	Visual C++
VCC	Virtual Channel Connection
VCD	Video CD
VCI	Virtual Channel Identifier
VED	Vehicle Excise Disc
VESA	Video Electronics Standards Association
VFC	Very Fast Class (modem)
VFM	Value For Money
VG	Very Good
VGA	Video Graphics Array
VGI	Very Good Idea
VHF	Very High Frequency
VHS	Vertical Helical Scan
VI	Virgin Islands
VIAGRA	Very Interesting Assembly of Galvanic Rising Agents
VIWS	Vaguely Improved Windows Shite
VLB	Video Local Bus
VLBI	Very Long Baseline Interferometer
VLIW	Very Long Instruction Word
VLSI	Very Large Scale Integrated circuit
VMI	Very Much Indeed
VMT	Very Many Thanks
VMTIA	Very Many Thanks In Anticipation
VNA	Very Naughty Acronym
VNC	Virtual Network Computing
VOC	Vote Of Confidence
VOIP	Voice Over Internet Protocol
VOK	Vomit On Keyboard
VP	Visitor Parking/Vice President/Venerable Peewheet
VPG	Verray Parfit Gentilbat
VPI	Virtual Path Identifier
VPL	Visible Panty Line
VPN	Virtual Private Network
VPOP	Virtual Point Of Presence
VRML	Virtual Reality Markup Language
VS	Venture Scout
VSB	Vertical Scroll Bars
VSL	Venture Scout Leader
VSOH	Very Saucy Original Humour
VSQBOP	Very Simple Quick Bit Of Programming
VSS	(Microsoft) Visual Source Safe
VSU	Venture Scout Unit
VSWR	Voltage Standing Wave Ratio
VT	Vermont
VTOL	Vertical Take-Off and Landing
VWD	Very Well Divided
VWG	Very Well Gloated/Groaned
VWP	Visa Waiver Programme
VWW	Very Well Wibbled
W4W	Word For Windows
W4WG	Windows For WorkGroups
WA	Washington/Western Australia/Well Alerted
WABGI	What A Bloody Good Idea
WABGIB	What A Bloody Good Idea Bruce
WABOL	What A Bunch Of Losers/With A Bit Of Luck
WACD	Working As Currently Designed
WACRAL	World Association of Christian Radio Amateurs and Listeners
WAD	Working As Designed/What A Dork
WADBPISNB	Working As Designed But Perhaps It Should Not Be
WADR	With All Due Respect
WAE	Working As Expected
WAFGI	What A F**king Good Idea
WAFLOL	With A F**king Lot Of Luck
WAFWOT	What A Flipping Waste Of Time
WAGGGS	World Association of Girl Guides and Girl Scouts
WAGI	What A Good Idea
WAGN	West Anglia Great Northern
WAH	Working At Home
WAIDW	What Am I Doing Wrong?
WAIF	We're Always In Front
WAINS	Why Am I Not Surprised
WAIS	Wide Area Information Server
WALBOL	With A Little Bit Of Luck
WALKIES	Walk your dog (well what did you expect?)
WALOA	What A Lot Of Acronyms
WALOB	What A Load Of Bollocks
WALOOB	What A Load Of Old Bollocks
WAM	Welsh Assembly Member
WAMKSAM	Why Are My Kids (or Kittens) Staring At Me?
WAN	Wide Area Network
WAND	Works As Not Designed
WAOOM	We Are Of One Mind
WAP	Wireless Application Protocol/Weak Anthropic Principle
WASHITO	Wait And See How It Turns Out
WATNR	Will Add To Next Release
WATP	We Aim To Please/What A Terrible Pun
WATPB	What About The Poor Baby
WATSOOYK	Why Are They So Obvious Once You Know 
WATSOWYK	Why Are They So Obvious When You Know
WATTNR	Will Add To The Next Release
WAWF	What A Witty Fellow
WBA	Withdrawn By Author
WBC	Well Behaved Children welcome
WBKO	With Brass Knobs On
WBMD	Well, Blow Me Down
WBMDWAF	Well, Blow Me Down With A Feather
WBS	What Bruce Said
WCA	Who Cares Anyway?
WCC	Wiggley, Creepie and the Crawlies
WCD	Wheel Chair Difficult
WCDMA	Wideband Code Division Multiple Access
WCE	Wheel Chair Easy
WCI	Wheel Chair Impossible
WCIGT	Why Couldn't I Guess That?
WCP	Wheel Chair Possible consult host
WCS	Web Conferencing System
WCWYLYHSD	What Colour Would You Like Your Heretic Swine Dyed?
WDALYIC	Who Died And Left You In Charge?
WDDTLOI	WithDrawn Due To Lack Of Interest
WDIGFIM	What Do I Get For It Mate
WDITW	What Did I Tell Wur
WDLY	We Don't Like You
WDS	What Doc Said
WDSS	What Drivel She Speaks
WDTLOI	Withdrawn Due To Lack Of Interest
WDTM	What Does That Mean?
WDTOM	What Does That One Mean?
WDTTT	What Does The Team Think?
WDYBOBTG	Why Don't You Bog Off Back To Greenland 
WDYSS	Why Didn't You Say So
WDYSSB	Why Didn't You Say So Before
WE	Who Else
WEA	Workers' Educational Association
WEC	Wicked Evil Cackle
WEEE	Waste, Electrical and Electronic Equipment directive
WEEED	Waste, Electrical and Electronic Equipment Directive
WEES	What Everyone Else Said
WEFC	Wicked Evil F**king Cackle
WEFG	Wicked Evil F**king Grin
WEFS	Wicked Evil F**king Smirk
WEFT	Web Embedded Font Technology
WEG	Wicked Evil Grin
WELL	Whole Earth 'Lectronic Link
WES	Wicked Evil Smirk
WF	Well Factorized
WFAC	Waiting For A Call
WFD	Wicked/Wild Flying Donkey
WFM	Works For Me 
WFMOB	Well F**k My Ol' Boots
WFW	Word For Windows
WFWG	Windows For WorkGroups
WGAF	Who Gives A F**k
WGR	With Good Reason
WH	White Hart
WHIDN	What Have I Done Now?
WHISH	What Have I Started Here?
WHISN	What Have I Started Now?
WHS	What He Said/W.H.Smith
WHS2	What He Said Too
WHST	What He Said Too
WHTGTDWI	What Has That Got To Do With It
WHY	What Have You
WHYD	What Have You Done
WI	What If/Women's Institute/Wisconsin
WIAA	What's It All About
WIBAGI	Would It Be A Good Idea
WIBAGII	Would It Be A Good Idea If
WIBAMU	Well I'll Be A Monkey's Uncle
WIBLI	Wouldn't It Be Lovely If
WIBNI	Wouldn't It Be Nice If
WIBSI	Wouldn't It Be Sensible If
WICU	What I Can't Understand
WIFI	WIreless FIdelity
WIGRTI	When I Get Round To It
WIHIH	What IIn Hell Is Happening
WIJS	What I Just Said
WIMP	Windows, Icons, Menus, Pointer/Pulldowns
WINDOWS	Will Install Needless Data On Whole System
WINGS	Windsor INternational Guide and Scout camp
WINGTM	What I'm Not Going To Mention
WINS	Windows Internet Naming Service
WIOFY	Work It Out For Yourself
WIP	Work In Progress
WIS	What I Said
WITNR	When Is The Next Release
WIW	Wot's It Worth
WIWAB	When I Was A Boy
WIWAG	When I Was A Girl
WIWAL	When I Were A Lad
WIWALWCEA	When I Was A Lad We Couldn't Even Afford
WLAF	World League of American Football
WLOF	We Lead, Others Follow
WMA	Whale Meat Again
WMAWFLHWEP	Wearing My Anorak With Fur-Lined Hood With Exceptional Pride
WMD	Weapons of Mass Destruction/Weapons of Messy Droppings
WMF	Windows MetaFile/Well Meaning Friend
WNAD	Works Not As Designed
WOADB	Water Off A Duck’s Back
WOB	White On Black
WOE	What/Why On Earth
WOFTAM	Waste Of F*cking Time And Money
WOGLS	What Our Great Leader Says
WOGS	Working On Government Service
WOIF	Were Often In Front
WOL	Wake On LAN
WOM	Word Of Mouth
WOMD	Weapons Of Mass Destruction
WOMM	Weapons Of Mass Murder
WOOF	Working weekend On Organic Farms
WOPAMANLACS	Waves Order Papers And Makes A Noise Like A Constipated Sheep
WOR	Wake On Ring
WORD	Weapon Of Random Destruction
WORM	Write Once, Read Many/Mostly
WOT	White On Tint
WOW	Whining Old Woman
WP	Word Processor 
WPB	Waste Paper Basket
WRJS	What Richard Just Said
WRL	Windows Recursive Labyrinth
WRT	With Respect To
WS	Well Spotted/WorkStation/WideScreen
WSS	What She Said
WSS2	What She Said Too
WSST	What She Said Too
WT	What/Who The/Wishful Thinking
WTAS	What They All Say
WTBC	Won't That Be Confusing
WTBHITSTM	What The Bloody Hell Is This Supposed To Mean?
WTBS	What They Both Say
WTC	World Trade Centre
WTF	What The F**k
WTFDIK	What The F**k Do I Know
WTFIGO	What The F**k Is Going On
WTFIPGO	What The F**k Is Possibly Going On
WTFITSTM	What The F**k Is This Supposed To Mean
WTFN	What The F**k Now
WTFO	What The F***!, Over!
WTG	Way To Go
WTGARTP	Whoops! There Goes Another Rubber Tree Plant
WTGP	Want To Go Private
WTH	What The Heck/Hell
WTHDTM	What The Hell Does That Mean?
WTS	Watch This Space/What They Said
WTSDMF	With Tears Streaming Down My Face
WTSF	Watch The Sparks Fly
WTYKS	Why Thank You Kind Sir
WU	What's Up
WUASTC	Wake Up And Smell The Coffee
WUB	Wicked Uncle Bruce
WUF	Where are yoU From
WUNL	Wakes Up Neighbours Laughing
WUR	Wicked Uncle Richard
WURACT	cix:WUR Assistant Canon Treasurer
WURB	cix:WUR Brat
WURCC	cix:WUR Conference Chaplain
WURFIAWOTT		cix:WUR First Incisor And Wielder Of The Toothbrush
WURGMT	cixWUR Grand-mother (Tired)
WURMI	cix:WUR Mother Inferior
WURMODE	cix:WUR Mistress Of Double Entendre
WUTB	Water Under The Bridge
WV	West Virginia/WigWam/Wotsit Worth
WWAD	Would Without A Doubt
WWFFC	Why Wait For Father Christmas
WWS	What Wur Says
WWTBAM	Who Wants To Be A Millionaire
WWW	World Wide Web/World Wide Wait
WWYGRTI	When Will You Get Round To It?
WY	Wyoming
WYGIWIGY	What You Get Is What I/IBM Give You
WYGRTI	When You Get Round To It
WYMM	Will You Marry Me?
WYS	What You Said
WYSBYGI	What You See Before You Get It
WYSINECTWYG	What You See Is Not Even Close To What You Get (wisy-neck-widge)
WYSINLWYG	What You See Is Nothing Like What You Get
WYSINWYG	What You See Is Not What You Get
WYSIQWYG	What You See Isn't Quite What You Get
WYSIWIS	What You See Is What I Send
WYSIWOG	What You See Is What Others Get
WYSIWTTYSG	What You See Is What They Think You Should Get
WYSIWYG	What You See Is What You Get
WYSIWYMGDOTB	What You See Is What You Might Get Depending On The Browser
WYSIWYMGDOYB	What You See Is What You Might Get Depending On Your Browser
WYSYWIG	What You See You Wish I Got
WYTYSYDG	What You Thought You Saw, You Didn't Get
XBDA	eXtended Bios Data Area
XHTML	eXtended HyperText Markup Language
XINU	XINU Is Not UNIX
XLNT	Excellent
XML	eXtensible Markup Language
XMS	eXtended Memory Specification
XRTBI	eX Round Tables of great Britain 
XSS	eX-Stock Supplier
XSL	eXtensible Stylesheet Language
XSLT	Extensible Stylesheet Language Transformations
XXXX	Lager (allegedly) From Oz
XWTB	eX Wife To Be
XYL	Wife
YA	You Are
YAAA	Yet Another Ameol Addon/Acronym
YAABOFH	You Are A Bastard Operator From Hell
YAABOFHAICMFP	You Are A Bastard Operator From Hell And I Claim My Five Pounds
YAABOFHAICMFUKP	You Are A Bastard Operator From Hell And I Claim My Five UK Pounds
YAAL	You Are A Lawyer
YAC	Yet Another Conference
YACC	Yet Another Cix Conference
YAFA	Yet Another "Fine" Abbreviation
YAITB	You Are In This Blink
YAJMAICMFUKP	You Are John Major And I Claim My Five UK Pounds
YAOLR	Yet Another Off Line Reader
YAP	Yet Another Ploy
YATWLG	You Are The Weakest Link, Goodbye
YAYIA	You And Your Inscrutable Acronyms
YCB	You Came Bach/Back
YCBMTTMT	You Couldn't BinMail This To Me Too
YCBMTTMTP	You Couldn't BinMail This To Me Too Please
YCBS	You Cannot Be Serious
YCCY	You Can’t, Can You?
YCFOT	You Can F**k Off Twice/You Can't Fly Over Tibet
YCHKMDWAF	You Could Have Knocked Me Down With A Feather
YCNBS	You Can Not Be Serious
YCRBYCH	You Can Run But You Can't Hide
YCSTA	You Can Say That Again
YDA	You Didn't Ask
YDBM	You Don't Believe Me
YDCHFTHDY	You Don't Come Here For The Hunting, Do You?
YDIA	You Did It Again
YDRS	You Dirty Rotten Swine
YDRSK	You Dirty Rotten Spanker Knicker
YDWYWTFO	You Did What You Were Told For Once
YF	Wife
YFST	Yawns For Some Time
YGBJ	You've Got to Be Joking 
YGBSM	You Gotta Be S***tin' Me
YGIAGAM	Your Guess Is As Good As Mine
YGTBJ	You've Got To Be Joking
YGWYPF	You Get What You Pay For
YHAP	You Have A Point
YHBM	You Have BinMail
YHBM2	You Have BinMail Too
YHBMA	You Have BinMail Also
YHBMAW	You Have BinMail As Well
YHBMT	You Have BinMail Today/Too
YHBT	You Have Been Trolled
YHBW	You Have Been Warned
YHEBM	You Have Encrypted BinMail
YHEM	You Have Encrypted Mail
YHGAFC	You Haven't Got A F****** Clue
YHGAFCHY	You Haven't Got A F****** Clue, Have You
YHL	You Have Lost
YHM	You Have Mail
YHM2	You Have Mail Too
YHMS	You Have My Support
YHS	Your Humble Servant
YHSM	You Have Snail Mail
YHVM	You Have Voice Mail
YIDTYVM	Yes I Did, Thank You Very Much
YIG	Yours In Guiding
YIGS	Yours In Guiding and Scouting OR Yours In Girl Scouting
YII	Yes It Is
YIS	Yours In Scouting
YJCGTATD	You Just Can't Get The Assassins These Days
YJCGTBCTD	You Just Can't Get The Brain Cells These days
YKIMS	You Know It Makes Sense
YKWIM	You Know What I Mean
YKWYD	You Know What You're Doing
YL	Young Lady/Girl friend/fiancée/Young Leader
YLSNED	You Learn Something New Every Day
YLU	Young Leaders' Unit
YMACA	Young Men's Anti-Christian Association (from the Discworld books)
YMBT	You Must Be Telepathic
YMCA	Young Men's Christian Association
YMI	You Mentioned It
YMMD	Your Mileage May Differ
YMMV	Your Mileage May Vary
YMOV	Your Mileage Ought to Vary/Your Mileage Often Varies?
YMSSBICNPC	You May Say So But I Could Not Possibly Comment
YMTT	You May Think That
YMTTBICPC	You May Think That But I Couldn't Possibly Comment
YMVWTTICPC	You Might Very Well Think That; I Couldn't Possibly Comment
YMWBTDBTWMAD	You May Well Beg To Differ But That Won't Make Any Difference
YOCYC	Yes Of Course You Can
YOGWYPF	You Only Get What You Pay For
YOHTA	You Only Had/Have To Ask
YOMOK	You Owe Me One Keyboard
YP	Young Person (Sometimes used for Young People)
YPS	Youth Proficiency Scheme
YPVS	Yamaha Power Valve System
YPYMATYC	You Pays Your Money And Takes Your Choice
YSBIB	You Should Be In Bed
YSHBM	You Should Have BinMail
YSHEYBBRTB	You Should Have Eaten Your Breakfast Before Reading The Blink
YSHGM	You Should Have Google Mail
YSHGUE	You Should Have Got Up Earlier
YSHHBM	You Should Have Had BinMail
YSHHM	You Should Have Had Mail
YSHM	You Should Have Mail
YSNAYBB	You Said Never Again You Bad Boy
YTHBM	You Too Have BinMail
YTTWOOMM	You Took The Words Out Of My Mouth
YTTWROOMM	You Took The Words Right Out Of My Mouth
YUI	You Understand It
YW	You're Welcome
YWCA	Young Women's Christian Association
YWET	You Would Expect That
YWHBM	You Will Have BinMail
YWHM	You Will Have Mail
YWHSM	You Will Have Snail Mail
YWHSMS	You Will Have Snail Mail Soon
YWIMC	Your Wish Is My Command
YWSTWY	You Would Say That, Wouldn't You?
YYA	Yes You Are
YYGT	Yes, You Get That
YYHM	Yours, You Have Mail
YYRH	Yes, Your Royal Highness
ZA	ZoneAlarm
ZIP	Compressed File Format
!-(	Black eye
!.'v	(profile) Flat top
#-)	Partied all night
#:-)	Someone with sort of matted hair
#:-o	Oh Nooooooo! with matted hair
#:o+=	Betty Boop
$-)	Won big at Las Vegas/won the lottery/yuppie
%-(I)	Laughing out loud
%')	After drinking a fifth for lunch
%-)	Cross-eyed/Message about people with broken glasses/After staring at the terminal for 36 hours
%*@:-(	Hung over
%\v	Picasso
%-|	Been working all night
%-}	Drunk
%-~	Picasso
%-<I>	Drunk with laughter
%-6	Braindead
&-)	Theatre patron (with opera glasses)
&.(	Crying
&:)	Elvis
&:-)	Message from a person with curly hair
&-|	Tearful
((((:-)	I'm a hat salesman
(-)	Needs a haircut/Sleeping
(,'%/	I slept too long on one side
(-:	Australian/Don Ellis from Tektronix/Left-handed
(:-#	Said something he shouldn't have
(:-$	Ill
(:-&	Angry
(:-(	Message indicating person is very sad/Frowning
(:(=|	Wearing a ghost costume
(:-)	Big Face/No Hair/Surprised/Messages dealing with bicycle helmets
(:)-)	Scuba diving
(:-*	Kiss
(:-...	Heart-broken
(-::-(	Two-faced
(-::-)	Siamese twins
(:-\	Very sad
(:^(	Broken nose
(:-{~	Bearded
(:-|K-	Formal message from someone wearing formal dress
(:+)	Big nose
(:<)	Blabber mouth
(:=)	Two noses (?)
(:>-<	Thief/Hands up!
(:-D	Blabber mouth
(:-I	Egghead
(:I	Egghead
(|-)	Robo-Smiley
(<:^0	Eeek!
(8-)	Wears glasses
(8-o	Mr. Bill
(O--<	Fishy
(V)=|	Pacman champion
)	Cheshire cat
'-)	One eyed man/Only has a left eye which is closed/Wink
):-(	Unsmiley big-face
):-)	Smiley big-face
)8-)	Scuba smiley big-face
*!#*!^*&:-)	Schizophrenic
*-(	Cyclops got poked in the eye
*-)	Shot dead
*:*	Fuzzy
*:**	Fuzzy with a fuzzy moustache
*:o)	Bozo the Clown
*<.'v	(profile) Wearing snow cap
*<|:-)	Santa Claus (Ho Ho Ho)
*<|:-))	Santa Claus
,-)	User only has one eye...but he's winking, other eyed man
,.'v	(profile) Has short hair
,:-)	User shaved his left eyebrow off this morning
,-}	Wry and winking
.'!	(profile) Has grin
.'"	(profile) Pursing lips
.-(	Can't see what's going on
.-)	Keeping an eye out/Sammy Davis, Jr/One eye
...---...	S.O.S (use carefully)
.'\	(profile) Frowning
.-]	One eye
.^v	(profile) Pointy nose
._)	Suffering from Lorentz contraction (they're coming every ten minutes now)
.'J	(profile) Smiling
.'P	(profile) Sticking tongue out
.'r	(profile) Sticking tongue out
.'T	(profile) Keeping a straight face
.'U	(profile) Yawning
.'V	(profile) Shouting
.'v	(profile) Talking
.'w	(profile) Speaking with forked tongue
.'Y	(profile) Whistling
/:-)	French
/:-|	Mr. Spock
:-	Male
:-'	Smoker
:-!	bland face
:-"	Heavy smoker/Pursing lips
:-#	Braces/My lips are sealed/Punched in the mouth
:###)	Jimmy Durante
:-#|	Bushy moustache/Smiley face with bushy moustache
:-$	Mouth wired shut/Put your money where your mouth is
:$)	Donald Trump
:-%	Banker/Bearded/Talking out of both sides of mouth
:%)	Accountant
:%)%	Has acne
:-&	Tongue-tied
:'-(	Crying
:-(	Frown
:'(	I'm crying
-:-(	Punk rocker (real punk rockers don't smile)
:-(	Sad/Drama/Frowning/Mad
:-(	Sad/Unhappy
:(	Sad
:-()	I stubbed my toe/Bigger and better Wow!
:-(*)	Sick of net.news articles/About to vomit
:-(=)	Big teeth
:-(0)	Yelling
:-)--	98-pound weakling
:)	Cheshire cat smile/Happy/Midget smiley/Salamander
:'-)	Crying with happiness
:-)'	Drooling
-:-)	Has mohawk/Punk rocker
':-)	I accidentally shaved off one eyebrow
:--)	Jamie Farr (Klinger from M*A*S*H)
:)	Lazy person/No nose
:)	Nose out of joint
:-)	Smile/Amused
:-)(())	Pregnant/Beer Gut
:-))	Double chin/Happy
:-)))	I'm overweight (triple chin)/William Conrad
:-))))	Bloody happy
:-)-{8	Big girl
:-)}	Has goatee/beard
:-)-}8	Big girl
:-)~	Drooling
:-)+	Female
:-)==	Arnold Schwarznegger
:-)>	Beard
:-)>-	I just washed my goatee
:-)->	Male
:-)-8	Big girl
:-)8	Man with bowtie/Well dressed
:-)8=	IGABW
:-)-O	Smiling  doctor with Stethoscope
:-)X	Wearing a bowtie
:-*	After eating something bitter or sour/Oops! (hand covering mouth)
:*	Kisses
:*)	I have a cold/Ed McMahon/Everyman/Drunk
:-,	Hmmmm/Smirking
:,(	Crying
:-/	Lefty/Undecided smiley/Sceptical
:/7)	Cyrano de Bergerac
:-:	Mutant, toothless
::-)	Wears glasses/Four eyes
:-?	I'm smoking a pipe
:-?	Smoking a pipe
:?)	Philosopher
:-@	I swear/Extremely angry/Screaming/Horrified/Shocked & Sad/Sticking out tongue
:@	What?
:@)	Pig
:-[	Biting criticism/Blockhead/Pouting/Sarcastic
:[	Real downer
:-[]	Angry
:-\	Popeye/Undecided 
:-]	Biting sarcasm/Blockhead/Sarcastic
:]	Gleep...a friendly midget smiley who will gladly be your friend
:^)	Profile/Messages teasing people about their noses/Broken nose/Smiley with pointy nose (righty)
:-^)	Tongue in other cheek
:^,	Smirk
:^?	Licking lips
:^[	Dracula
:^<	Forlorn
:^>	Alternative smile
:^1	Smirk
:^B	Drooling
:^C	Just totally unbelieving
:^c	Real unhappy
:^D	Said with a smile/Great! I like it!
:^I	Smoking
:^j	Smoking and smiling
:^l	Disgusted
:^P	Poke your tongue out!
:^r	Bleahh (sticking tongue out)
:^V	Shout
:^x	Kiss kiss
:_)	User's nose is sliding off of his face
:-`	Spitting out chewing tobacco/Speaks wiz ze accent
:-{	Moustache
:{	Oh boy/The headmaster!
:-{#}	Messages teasing people about their braces
:-{)	Moustache
:-{}	Heavy lipstick/Sexy
:-{~	Has read too many of the toilet paper articles previous to lunch
:-'|	Has a cold
:-|	Have an ordinary day/Grim/No expression/Punchy 
:-||	Angry
:}	Rakish/Cavalier
:-}	Thish wine tashted pretty good/Beard/Lipstick/Pretty lips
:}	What should we call these? (what?)
:-~	Wry Smile
:~(	Nose put out of joint
:-~)	Has a cold
:~)	Nose out of joint/Peter Ubberoth/Needs a nosejob/Pointy nose (righty)/Ugly nose
:+(	Punched nose/Hurt
:+)	Carl Friedrich/Gauss
:-<	Frowning/Moustache/Real sad
:<	midget unsmiley/What pretences!
:<()	African tribesman
:<)	From an Ivy League School
:-<)	Moustache
:<|	Attends an Ivy League school
:<=	Walrus
:<>	I'm a fish
:-=)	Adolph Hitler/Older smiley with moustache
:=)	Has two noses
:=|	Baboon
:=8)	Baboon
:->	Bearded/Biting sarcastic face/Deformed lips/Happy
:>	Hmm/Let me think.../Midget smiley
:>)	Big nose
:-0	No Yelling! (Quiet Lab)/Orator/Wow!
:-1	Bland face
:3-<	Dog
:-6	After eating something sour
:-7	Smokes a pipe/Talking out of side of mouth/Wry face
:-8(	Condescending stare
:8)	Pig
:-9	Licking its lips
:-a	lefty smiley touching tongue to nose
:-B	Drooling
:-b	Left-pointing tongue
:-c	Bummed out/Real unhappy
:-C	Just totally unbelieving/Really bummed out
:C	What?
:D	Laughter
:-d	Lefty smiley razzing you
:-D	Wider happy face (or mouth open too much)/Said with a smile/User is laughing (at you!)/Big smile/Talking too much
:-d~	Smokes heavily
:-E	Bucktoothed vampire/Has major dental problems
:-e	Disappointed
:-F	Bucktoothed vampire with one tooth missing
:-G-	Smoking cigarettes
:-I	Hmm/Indifferent/Thinking/Semi-smiley
:I	Hmmm/not funny!
:-j	Left smiling
:-k	Beats me/Looks like something/Tho
:-l	Yet another smiley
:-M	Speaking no evil
:n)	Funny-looking right nose
:-o	I'm bored (yawn)/Oh/Nooooooo!/Uh oh!, Wow!/Shocked/Singing national anthem/Surprise
:-O	Very Shocked/I'm wearing heavy lipstick/Surprise/Mr. Bill/Birth/Ohh/Big mouth/Mick Jagger/Uh oh
:O	Yelling
:o)	Big Nose/Clown
:-P	Nyahhhh!/Has a secret to tell you/Nyah nyah/Sticking out tongue/Tongue hanging out in anticipation
:-p	Smiley sticking its tongue out (at you!)/Smokes heavily
:-Q	I'm smoking
:Q	Que?/What?
:-q	Trying to touch tongue to nose
:Q)	John Q/Public
:-Q~	Smoking
:-R	Has the flu
:-r	Sticking tongue out
:-s	After a BIZARRE comment
:-S	User just made an incoherent statement
:-t	Cross smiley
:-T	Keeping a straight face
:-Þ	Smiley sticking its tongue out.
:u)	Funny-looking left nose
:-V	Shouting
:-v	Speaking
:V	Woodpecker
